node_id,node_type,region,capacity_units,throughput_units,recovery_days,backup_level,is_backup_capable,criticality_weight,substitutable,volume_weight,notes
PLANT_066,PLANT,Quebec,375,209,15,partial,1,,,,Port-constrained (only 1 port connection).
PLANT_067,PLANT,BC,435,272,21,partial,1,,,,Port-constrained (only 1 port connection).
PLANT_068,PLANT,Quebec,1200,762,10,none,1,,,,Chokepoint: sole source for a single-sourced ingredient used by high-volume products.
PLANT_069,PLANT,Ontario,748,540,20,full,1,,,,Multiple upstream/downstream alternatives.
PLANT_070,PLANT,BC,926,719,19,full,0,,,,Multiple upstream/downstream alternatives.
PLANT_071,PLANT,Atlantic,983,715,20,partial,1,,,,Port-constrained (only 1 port connection).
PLANT_072,PLANT,Quebec,1199,698,9,none,1,,,,Chokepoint: sole source for a single-sourced ingredient used by high-volume products.
PLANT_073,PLANT,Quebec,1060,559,15,full,1,,,,Multiple upstream/downstream alternatives.
PLANT_074,PLANT,BC,919,743,10,full,0,,,,Multiple upstream/downstream alternatives.
PLANT_075,PLANT,Prairies,1003,879,17,partial,0,,,,Limited downstream warehouse options.
PLANT_076,PLANT,SoutheastUS,557,504,21,partial,0,,,,Limited downstream warehouse options.
PLANT_077,PLANT,Atlantic,394,261,17,full,1,,,,Multiple upstream/downstream alternatives.
PLANT_078,PLANT,BC,345,213,7,none,1,,,,Chokepoint: sole source for a single-sourced ingredient used by high-volume products.
PLANT_079,PLANT,Ontario,952,505,11,none,1,,,,Chokepoint: sole source for a single-sourced ingredient used by high-volume products.
PLANT_080,PLANT,SoutheastUS,864,574,18,full,1,,,,Multiple upstream/downstream alternatives.
PLANT_081,PLANT,Atlantic,414,382,8,none,0,,,,Chokepoint: sole source for a single-sourced ingredient used by high-volume products.
PLANT_082,PLANT,Ontario,858,744,7,full,0,,,,Multiple upstream/downstream alternatives.
PLANT_083,PLANT,Ontario,740,348,9,full,1,,,,Multiple upstream/downstream alternatives.
PLANT_084,PLANT,NortheastUS,1115,524,20,partial,1,,,,Port-constrained (only 1 port connection).
PLANT_085,PLANT,NortheastUS,515,296,17,full,1,,,,Multiple upstream/downstream alternatives.
PLANT_086,PLANT,Quebec,662,483,19,partial,1,,,,Limited downstream warehouse options.
PLANT_087,PLANT,MidwestUS,935,493,18,partial,1,,,,Limited downstream warehouse options.
PLANT_088,PLANT,Prairies,1185,1112,9,full,0,,,,Multiple upstream/downstream alternatives.
PLANT_089,PLANT,Ontario,722,390,7,full,1,,,,Multiple upstream/downstream alternatives.
PLANT_090,PLANT,NortheastUS,1101,722,21,none,1,,,,Chokepoint: sole source for a single-sourced ingredient used by high-volume products.
WH_001,WAREHOUSE,Prairies,1146,967,3,none,0,,,,"Receives from 0 plant(s), replenishes 1 DC(s)."
WH_002,WAREHOUSE,Quebec,1383,1216,2,none,0,,,,"Receives from 4 plant(s), replenishes 1 DC(s)."
WH_003,WAREHOUSE,Prairies,1008,630,5,none,1,,,,"Receives from 1 plant(s), replenishes 1 DC(s)."
WH_004,WAREHOUSE,Prairies,1056,824,2,none,0,,,,"Receives from 2 plant(s), replenishes 1 DC(s)."
WH_005,WAREHOUSE,MidwestUS,1272,1122,4,partial,0,,,,"Receives from 2 plant(s), replenishes 4 DC(s)."
WH_006,WAREHOUSE,BC,1319,930,7,none,1,,,,"Receives from 7 plant(s), replenishes 1 DC(s)."
WH_007,WAREHOUSE,NortheastUS,656,583,2,partial,0,,,,"Receives from 3 plant(s), replenishes 4 DC(s)."
WH_008,WAREHOUSE,BC,965,899,6,partial,0,,,,"Receives from 6 plant(s), replenishes 3 DC(s)."
WH_009,WAREHOUSE,BC,678,507,2,partial,1,,,,"Receives from 2 plant(s), replenishes 5 DC(s)."
WH_010,WAREHOUSE,NortheastUS,2092,1398,4,none,1,,,,"Receives from 5 plant(s), replenishes 2 DC(s)."
WH_011,WAREHOUSE,Quebec,1388,757,6,none,1,,,,"Receives from 3 plant(s), replenishes 1 DC(s)."
WH_012,WAREHOUSE,Atlantic,2051,925,5,full,1,,,,"Receives from 4 plant(s), replenishes 7 DC(s)."
WH_013,WAREHOUSE,Prairies,1345,652,5,none,1,,,,"Receives from 3 plant(s), replenishes 1 DC(s)."
WH_014,WAREHOUSE,NortheastUS,1876,1466,4,partial,0,,,,"Receives from 3 plant(s), replenishes 3 DC(s)."
WH_015,WAREHOUSE,Quebec,2074,1459,4,none,1,,,,"Receives from 6 plant(s), replenishes 2 DC(s)."
WH_016,WAREHOUSE,MidwestUS,1268,1013,5,partial,0,,,,"Receives from 3 plant(s), replenishes 5 DC(s)."
WH_017,WAREHOUSE,Ontario,992,776,5,partial,0,,,,"Receives from 8 plant(s), replenishes 3 DC(s)."
WH_018,WAREHOUSE,MidwestUS,1987,1791,7,none,0,,,,"Receives from 4 plant(s), replenishes 1 DC(s)."
WH_019,WAREHOUSE,BC,1431,1240,6,none,0,,,,"Receives from 2 plant(s), replenishes 1 DC(s)."
WH_020,WAREHOUSE,BC,1187,789,3,none,1,,,,"Receives from 5 plant(s), replenishes 1 DC(s)."
WH_021,WAREHOUSE,NortheastUS,1552,1042,5,partial,1,,,,"Receives from 4 plant(s), replenishes 3 DC(s)."
WH_022,WAREHOUSE,Prairies,1646,1394,5,none,0,,,,"Receives from 1 plant(s), replenishes 2 DC(s)."
WH_023,WAREHOUSE,Ontario,1949,1154,2,partial,1,,,,"Receives from 5 plant(s), replenishes 3 DC(s)."
WH_024,WAREHOUSE,NortheastUS,791,622,3,none,0,,,,"Receives from 4 plant(s), replenishes 1 DC(s)."
WH_025,WAREHOUSE,Prairies,2251,1179,3,none,1,,,,"Receives from 4 plant(s), replenishes 1 DC(s)."
WH_026,WAREHOUSE,Atlantic,1101,832,5,none,0,,,,"Receives from 1 plant(s), replenishes 4 DC(s)."
WH_027,WAREHOUSE,Quebec,1532,1368,5,partial,0,,,,"Receives from 3 plant(s), replenishes 4 DC(s)."
WH_028,WAREHOUSE,Prairies,2071,1330,7,partial,1,,,,"Receives from 2 plant(s), replenishes 3 DC(s)."
WH_029,WAREHOUSE,MidwestUS,1099,855,3,none,0,,,,"Receives from 0 plant(s), replenishes 6 DC(s)."
WH_030,WAREHOUSE,Atlantic,2428,2038,2,full,0,,,,"Receives from 6 plant(s), replenishes 4 DC(s)."
WH_031,WAREHOUSE,Prairies,960,681,7,none,1,,,,"Receives from 1 plant(s), replenishes 4 DC(s)."
WH_032,WAREHOUSE,Atlantic,1741,1582,3,partial,0,,,,"Receives from 3 plant(s), replenishes 4 DC(s)."
WH_033,WAREHOUSE,Quebec,1534,1305,3,none,0,,,,"Receives from 1 plant(s), replenishes 1 DC(s)."
WH_034,WAREHOUSE,NortheastUS,2146,1623,5,full,0,,,,"Receives from 5 plant(s), replenishes 7 DC(s)."
WH_035,WAREHOUSE,MidwestUS,2301,1548,6,partial,1,,,,"Receives from 3 plant(s), replenishes 3 DC(s)."
WH_036,WAREHOUSE,Ontario,2123,1433,5,full,1,,,,"Receives from 10 plant(s), replenishes 7 DC(s)."
WH_037,WAREHOUSE,Prairies,2320,1366,7,none,1,,,,"Receives from 2 plant(s), replenishes 1 DC(s)."
WH_038,WAREHOUSE,SoutheastUS,1883,1106,3,partial,1,,,,"Receives from 2 plant(s), replenishes 3 DC(s)."
WH_039,WAREHOUSE,Quebec,2061,1169,4,none,1,,,,"Receives from 3 plant(s), replenishes 2 DC(s)."
WH_040,WAREHOUSE,NortheastUS,1254,615,6,full,1,,,,"Receives from 4 plant(s), replenishes 7 DC(s)."
WH_041,WAREHOUSE,Ontario,1073,855,5,partial,0,,,,"Receives from 8 plant(s), replenishes 3 DC(s)."
WH_042,WAREHOUSE,Prairies,731,478,5,none,1,,,,"Receives from 3 plant(s), replenishes 0 DC(s)."
WH_043,WAREHOUSE,SoutheastUS,1451,803,2,partial,1,,,,"Receives from 3 plant(s), replenishes 4 DC(s)."
WH_044,WAREHOUSE,MidwestUS,1397,1289,6,none,0,,,,"Receives from 3 plant(s), replenishes 2 DC(s)."
WH_045,WAREHOUSE,Atlantic,2354,1507,6,partial,1,,,,"Receives from 5 plant(s), replenishes 3 DC(s)."
WH_046,WAREHOUSE,Atlantic,1320,1091,4,full,0,,,,"Receives from 7 plant(s), replenishes 6 DC(s)."
WH_047,WAREHOUSE,MidwestUS,1702,1391,7,partial,0,,,,"Receives from 2 plant(s), replenishes 4 DC(s)."
WH_048,WAREHOUSE,Prairies,1599,938,3,partial,1,,,,"Receives from 4 plant(s), replenishes 3 DC(s)."
WH_049,WAREHOUSE,SoutheastUS,659,407,5,full,1,,,,"Receives from 6 plant(s), replenishes 4 DC(s)."
WH_050,WAREHOUSE,MidwestUS,2083,1813,3,none,0,,,,"Receives from 3 plant(s), replenishes 1 DC(s)."
WH_051,WAREHOUSE,Ontario,1874,869,6,full,1,,,,"Receives from 4 plant(s), replenishes 5 DC(s)."
WH_052,WAREHOUSE,MidwestUS,1812,1416,6,none,0,,,,"Receives from 0 plant(s), replenishes 5 DC(s)."
WH_053,WAREHOUSE,Quebec,1916,992,5,none,1,,,,"Receives from 6 plant(s), replenishes 1 DC(s)."
WH_054,WAREHOUSE,SoutheastUS,972,564,2,partial,1,,,,"Receives from 6 plant(s), replenishes 3 DC(s)."
WH_055,WAREHOUSE,NortheastUS,1033,634,5,partial,1,,,,"Receives from 3 plant(s), replenishes 3 DC(s)."
WH_056,WAREHOUSE,MidwestUS,1169,674,5,partial,1,,,,"Receives from 2 plant(s), replenishes 4 DC(s)."
WH_057,WAREHOUSE,Quebec,1563,1289,2,none,0,,,,"Receives from 1 plant(s), replenishes 4 DC(s)."
WH_058,WAREHOUSE,Atlantic,1316,1020,3,full,0,,,,"Receives from 8 plant(s), replenishes 4 DC(s)."
WH_059,WAREHOUSE,Atlantic,2144,1983,2,partial,0,,,,"Receives from 2 plant(s), replenishes 3 DC(s)."
WH_060,WAREHOUSE,Prairies,2318,1763,2,none,0,,,,"Receives from 6 plant(s), replenishes 2 DC(s)."
WH_061,WAREHOUSE,Prairies,858,673,5,none,0,,,,"Receives from 5 plant(s), replenishes 0 DC(s)."
WH_062,WAREHOUSE,Prairies,1552,897,7,none,1,,,,"Receives from 1 plant(s), replenishes 1 DC(s)."
WH_063,WAREHOUSE,NortheastUS,943,711,6,none,0,,,,"Receives from 1 plant(s), replenishes 4 DC(s)."
WH_064,WAREHOUSE,Quebec,2192,2044,3,none,0,,,,"Receives from 2 plant(s), replenishes 2 DC(s)."
WH_065,WAREHOUSE,Quebec,1785,1632,2,none,0,,,,"Receives from 2 plant(s), replenishes 2 DC(s)."
WH_066,WAREHOUSE,MidwestUS,1412,775,7,partial,1,,,,"Receives from 2 plant(s), replenishes 3 DC(s)."
WH_067,WAREHOUSE,Prairies,808,676,7,none,0,,,,"Receives from 2 plant(s), replenishes 2 DC(s)."
WH_068,WAREHOUSE,Quebec,2230,1876,6,none,0,,,,"Receives from 1 plant(s), replenishes 3 DC(s)."
WH_069,WAREHOUSE,NortheastUS,1691,1320,5,partial,0,,,,"Receives from 4 plant(s), replenishes 3 DC(s)."
WH_070,WAREHOUSE,Quebec,1636,1015,7,none,1,,,,"Receives from 4 plant(s), replenishes 1 DC(s)."
WH_071,WAREHOUSE,MidwestUS,2284,1148,5,none,1,,,,"Receives from 2 plant(s), replenishes 1 DC(s)."
WH_072,WAREHOUSE,NortheastUS,1901,1528,5,full,0,,,,"Receives from 4 plant(s), replenishes 4 DC(s)."
WH_073,WAREHOUSE,MidwestUS,960,682,7,none,1,,,,"Receives from 0 plant(s), replenishes 5 DC(s)."
WH_074,WAREHOUSE,BC,1861,1558,6,none,0,,,,"Receives from 3 plant(s), replenishes 1 DC(s)."
WH_075,WAREHOUSE,SoutheastUS,1492,1113,7,full,1,,,,"Receives from 4 plant(s), replenishes 4 DC(s)."
WH_076,WAREHOUSE,NortheastUS,2344,2028,3,none,0,,,,"Receives from 4 plant(s), replenishes 2 DC(s)."
WH_077,WAREHOUSE,Quebec,1171,670,5,none,1,,,,"Receives from 2 plant(s), replenishes 2 DC(s)."
WH_078,WAREHOUSE,SoutheastUS,1767,1385,6,partial,0,,,,"Receives from 2 plant(s), replenishes 3 DC(s)."
WH_079,WAREHOUSE,NortheastUS,658,576,5,partial,0,,,,"Receives from 2 plant(s), replenishes 3 DC(s)."
WH_080,WAREHOUSE,Ontario,1598,1003,3,full,1,,,,"Receives from 5 plant(s), replenishes 4 DC(s)."
WH_081,WAREHOUSE,BC,1297,1155,4,none,0,,,,"Receives from 3 plant(s), replenishes 2 DC(s)."
WH_082,WAREHOUSE,BC,1738,1231,2,none,1,,,,"Receives from 3 plant(s), replenishes 2 DC(s)."
WH_083,WAREHOUSE,Prairies,775,628,3,none,0,,,,"Receives from 4 plant(s), replenishes 1 DC(s)."
WH_084,WAREHOUSE,SoutheastUS,1737,1381,3,full,0,,,,"Receives from 4 plant(s), replenishes 5 DC(s)."
WH_085,WAREHOUSE,SoutheastUS,1517,753,2,full,1,,,,"Receives from 5 plant(s), replenishes 5 DC(s)."
WH_086,WAREHOUSE,Prairies,1428,816,7,none,1,,,,"Receives from 5 plant(s), replenishes 2 DC(s)."
WH_087,WAREHOUSE,NortheastUS,1569,1123,6,partial,1,,,,"Receives from 3 plant(s), replenishes 5 DC(s)."
WH_088,WAREHOUSE,MidwestUS,2127,1309,6,partial,1,,,,"Receives from 2 plant(s), replenishes 3 DC(s)."
WH_089,WAREHOUSE,SoutheastUS,1154,664,4,partial,1,,,,"Receives from 3 plant(s), replenishes 8 DC(s)."
WH_090,WAREHOUSE,Quebec,2077,1262,3,full,1,,,,"Receives from 6 plant(s), replenishes 4 DC(s)."
WH_091,WAREHOUSE,Ontario,992,813,3,full,0,,,,"Receives from 4 plant(s), replenishes 6 DC(s)."
WH_092,WAREHOUSE,BC,2083,1954,6,none,0,,,,"Receives from 2 plant(s), replenishes 0 DC(s)."
WH_093,WAREHOUSE,BC,805,481,3,none,1,,,,"Receives from 2 plant(s), replenishes 1 DC(s)."
WH_094,WAREHOUSE,NortheastUS,967,442,4,none,1,,,,"Receives from 3 plant(s), replenishes 1 DC(s)."
WH_095,WAREHOUSE,Ontario,1161,1088,2,full,0,,,,"Receives from 6 plant(s), replenishes 4 DC(s)."
WH_096,WAREHOUSE,BC,2028,1559,3,none,0,,,,"Receives from 2 plant(s), replenishes 1 DC(s)."
WH_097,WAREHOUSE,SoutheastUS,810,597,2,partial,1,,,,"Receives from 2 plant(s), replenishes 3 DC(s)."
WH_098,WAREHOUSE,SoutheastUS,1580,980,5,partial,1,,,,"Receives from 6 plant(s), replenishes 3 DC(s)."
WH_099,WAREHOUSE,Atlantic,1117,566,5,partial,1,,,,"Receives from 3 plant(s), replenishes 3 DC(s)."
WH_100,WAREHOUSE,Quebec,1420,692,5,none,1,,,,"Receives from 4 plant(s), replenishes 2 DC(s)."
WH_101,WAREHOUSE,Atlantic,910,779,3,none,0,,,,"Receives from 9 plant(s), replenishes 2 DC(s)."
WH_102,WAREHOUSE,BC,774,394,3,partial,1,,,,"Receives from 3 plant(s), replenishes 3 DC(s)."
WH_103,WAREHOUSE,MidwestUS,1841,1556,6,none,0,,,,"Receives from 2 plant(s), replenishes 2 DC(s)."
WH_104,WAREHOUSE,Prairies,2188,1401,6,none,1,,,,"Receives from 4 plant(s), replenishes 2 DC(s)."
WH_105,WAREHOUSE,SoutheastUS,1208,1142,6,full,0,,,,"Receives from 5 plant(s), replenishes 5 DC(s)."
WH_106,WAREHOUSE,BC,1764,847,6,partial,1,,,,"Receives from 2 plant(s), replenishes 3 DC(s)."
WH_107,WAREHOUSE,Quebec,2162,1649,3,none,0,,,,"Receives from 3 plant(s), replenishes 2 DC(s)."
WH_108,WAREHOUSE,BC,1952,1032,2,full,1,,,,"Receives from 4 plant(s), replenishes 7 DC(s)."
WH_109,WAREHOUSE,Ontario,1730,914,2,partial,1,,,,"Receives from 9 plant(s), replenishes 3 DC(s)."
WH_110,WAREHOUSE,MidwestUS,1522,1137,7,full,1,,,,"Receives from 4 plant(s), replenishes 4 DC(s)."
WH_111,WAREHOUSE,BC,666,396,3,none,1,,,,"Receives from 3 plant(s), replenishes 1 DC(s)."
WH_112,WAREHOUSE,BC,2039,990,5,none,1,,,,"Receives from 1 plant(s), replenishes 2 DC(s)."
WH_113,WAREHOUSE,Prairies,2492,2103,4,none,0,,,,"Receives from 5 plant(s), replenishes 0 DC(s)."
WH_114,WAREHOUSE,Prairies,1470,1062,2,none,1,,,,"Receives from 1 plant(s), replenishes 1 DC(s)."
WH_115,WAREHOUSE,Ontario,2460,2124,4,partial,0,,,,"Receives from 2 plant(s), replenishes 3 DC(s)."
WH_116,WAREHOUSE,Quebec,722,611,3,none,0,,,,"Receives from 7 plant(s), replenishes 2 DC(s)."
WH_117,WAREHOUSE,BC,1499,1026,2,none,1,,,,"Receives from 4 plant(s), replenishes 0 DC(s)."
WH_118,WAREHOUSE,BC,2033,1873,5,none,0,,,,"Receives from 1 plant(s), replenishes 2 DC(s)."
WH_119,WAREHOUSE,SoutheastUS,1496,1121,2,none,1,,,,"Receives from 2 plant(s), replenishes 1 DC(s)."
WH_120,WAREHOUSE,MidwestUS,2104,1582,4,partial,0,,,,"Receives from 5 plant(s), replenishes 3 DC(s)."
DC_001,DC,Atlantic,1174,1093,2,partial,0,,,,Served by 2 warehouse(s).
DC_002,DC,Atlantic,1903,895,5,partial,1,,,,Served by 2 warehouse(s).
DC_003,DC,Ontario,2727,2115,5,partial,0,,,,Served by 2 warehouse(s).
DC_004,DC,BC,1543,1031,5,full,1,,,,Served by 3 warehouse(s).
DC_005,DC,SoutheastUS,1173,732,4,full,1,,,,Served by 3 warehouse(s).
DC_006,DC,NortheastUS,2115,1859,1,partial,0,,,,Served by 2 warehouse(s).
DC_007,DC,NortheastUS,2486,1477,4,none,1,,,,Served by 1 warehouse(s).
DC_008,DC,MidwestUS,3053,2068,1,partial,1,,,,Served by 2 warehouse(s).
DC_009,DC,NortheastUS,1833,931,3,partial,1,,,,Served by 2 warehouse(s).
DC_010,DC,MidwestUS,2907,2264,1,partial,0,,,,Served by 2 warehouse(s).
DC_011,DC,SoutheastUS,2492,1355,1,partial,1,,,,Served by 2 warehouse(s).
DC_012,DC,NortheastUS,2841,2358,4,none,0,,,,Served by 1 warehouse(s).
DC_013,DC,Prairies,1893,976,5,partial,1,,,,Served by 2 warehouse(s).
DC_014,DC,BC,2594,1325,4,partial,1,,,,Served by 2 warehouse(s).
DC_015,DC,Prairies,1448,1050,3,none,1,,,,Served by 1 warehouse(s).
DC_016,DC,MidwestUS,1181,1117,2,full,0,,,,Served by 3 warehouse(s).
DC_017,DC,Quebec,2690,2082,1,full,0,,,,Served by 3 warehouse(s).
DC_018,DC,Ontario,2841,2001,3,full,1,,,,Served by 3 warehouse(s).
DC_019,DC,BC,2501,2351,4,partial,0,,,,Served by 2 warehouse(s).
DC_020,DC,Prairies,2670,1395,5,partial,1,,,,Served by 2 warehouse(s).
DC_021,DC,Prairies,2881,2541,2,none,0,,,,Served by 1 warehouse(s).
DC_022,DC,BC,2499,2292,3,none,0,,,,Served by 1 warehouse(s).
DC_023,DC,BC,810,659,3,none,0,,,,Served by 1 warehouse(s).
DC_024,DC,SoutheastUS,1408,1013,4,none,1,,,,Served by 1 warehouse(s).
DC_025,DC,NortheastUS,2161,1797,5,partial,0,,,,Served by 2 warehouse(s).
DC_026,DC,MidwestUS,2665,2358,3,partial,0,,,,Served by 2 warehouse(s).
DC_027,DC,Prairies,3142,1781,4,partial,1,,,,Served by 2 warehouse(s).
DC_028,DC,MidwestUS,978,804,3,full,0,,,,Served by 3 warehouse(s).
DC_029,DC,MidwestUS,2381,1661,2,partial,1,,,,Served by 2 warehouse(s).
DC_030,DC,Atlantic,1317,1228,5,partial,0,,,,Served by 2 warehouse(s).
DC_031,DC,NortheastUS,1211,605,4,partial,1,,,,Served by 2 warehouse(s).
DC_032,DC,SoutheastUS,862,565,2,full,1,,,,Served by 3 warehouse(s).
